,geometry,zone_id,origin_count,destination_count
270,"POLYGON ((7.664047794439935 45.07391441112017, 7.670409771599928 45.07391441112017, 7.670409771599928 45.06755243396018, 7.664047794439935 45.06755243396018, 7.664047794439935 45.07391441112017))",270,2456.0,2475.0
299,"POLYGON ((7.670409771599928 45.06755243396018, 7.676771748759921 45.06755243396018, 7.676771748759921 45.06119045680019, 7.670409771599928 45.06119045680019, 7.670409771599928 45.06755243396018))",299,2518.0,2520.0
298,"POLYGON ((7.670409771599928 45.07391441112017, 7.676771748759921 45.07391441112017, 7.676771748759921 45.06755243396018, 7.670409771599928 45.06755243396018, 7.670409771599928 45.07391441112017))",298,2199.0,2204.0
327,"POLYGON ((7.676771748759921 45.06755243396018, 7.683133725919914 45.06755243396018, 7.683133725919914 45.06119045680019, 7.676771748759921 45.06119045680019, 7.676771748759921 45.06755243396018))",327,1877.0,1876.0
383,"POLYGON ((7.689495703079907 45.06755243396018, 7.6958576802399 45.06755243396018, 7.6958576802399 45.06119045680019, 7.689495703079907 45.06119045680019, 7.689495703079907 45.06755243396018))",383,1892.0,1896.0
244,"POLYGON ((7.657685817279942 45.06119045680019, 7.664047794439935 45.06119045680019, 7.664047794439935 45.0548284796402, 7.657685817279942 45.0548284796402, 7.657685817279942 45.06119045680019))",244,1906.0,1903.0
297,"POLYGON ((7.670409771599928 45.08027638828016, 7.676771748759921 45.08027638828016, 7.676771748759921 45.07391441112017, 7.670409771599928 45.07391441112017, 7.670409771599928 45.08027638828016))",297,1718.0,1714.0
355,"POLYGON ((7.683133725919914 45.06755243396018, 7.689495703079907 45.06755243396018, 7.689495703079907 45.06119045680019, 7.683133725919914 45.06119045680019, 7.683133725919914 45.06755243396018))",355,1639.0,1643.0
328,"POLYGON ((7.676771748759921 45.06119045680019, 7.683133725919914 45.06119045680019, 7.683133725919914 45.0548284796402, 7.676771748759921 45.0548284796402, 7.676771748759921 45.06119045680019))",328,1555.0,1564.0
269,"POLYGON ((7.664047794439935 45.08027638828016, 7.670409771599928 45.08027638828016, 7.670409771599928 45.07391441112017, 7.664047794439935 45.07391441112017, 7.664047794439935 45.08027638828016))",269,1606.0,1612.0
326,"POLYGON ((7.676771748759921 45.07391441112017, 7.683133725919914 45.07391441112017, 7.683133725919914 45.06755243396018, 7.676771748759921 45.06755243396018, 7.676771748759921 45.07391441112017))",326,1450.0,1450.0
243,"POLYGON ((7.657685817279942 45.06755243396018, 7.664047794439935 45.06755243396018, 7.664047794439935 45.06119045680019, 7.657685817279942 45.06119045680019, 7.657685817279942 45.06755243396018))",243,1647.0,1651.0
242,"POLYGON ((7.657685817279942 45.07391441112017, 7.664047794439935 45.07391441112017, 7.664047794439935 45.06755243396018, 7.657685817279942 45.06755243396018, 7.657685817279942 45.07391441112017))",242,1453.0,1467.0
215,"POLYGON ((7.651323840119949 45.06755243396018, 7.657685817279942 45.06755243396018, 7.657685817279942 45.06119045680019, 7.651323840119949 45.06119045680019, 7.651323840119949 45.06755243396018))",215,1330.0,1330.0
329,"POLYGON ((7.676771748759921 45.0548284796402, 7.683133725919914 45.0548284796402, 7.683133725919914 45.04846650248021, 7.676771748759921 45.04846650248021, 7.676771748759921 45.0548284796402))",329,1299.0,1306.0
245,"POLYGON ((7.657685817279942 45.0548284796402, 7.664047794439935 45.0548284796402, 7.664047794439935 45.04846650248021, 7.657685817279942 45.04846650248021, 7.657685817279942 45.0548284796402))",245,1536.0,1529.0
272,"POLYGON ((7.664047794439935 45.06119045680019, 7.670409771599928 45.06119045680019, 7.670409771599928 45.0548284796402, 7.664047794439935 45.0548284796402, 7.664047794439935 45.06119045680019))",272,1294.0,1297.0
325,"POLYGON ((7.676771748759921 45.08027638828016, 7.683133725919914 45.08027638828016, 7.683133725919914 45.07391441112017, 7.676771748759921 45.07391441112017, 7.676771748759921 45.08027638828016))",325,1333.0,1337.0
382,"POLYGON ((7.689495703079907 45.07391441112017, 7.6958576802399 45.07391441112017, 7.6958576802399 45.06755243396018, 7.689495703079907 45.06755243396018, 7.689495703079907 45.07391441112017))",382,1160.0,1156.0
241,"POLYGON ((7.657685817279942 45.08027638828016, 7.664047794439935 45.08027638828016, 7.664047794439935 45.07391441112017, 7.657685817279942 45.07391441112017, 7.657685817279942 45.08027638828016))",241,1135.0,1132.0
356,"POLYGON ((7.683133725919914 45.06119045680019, 7.689495703079907 45.06119045680019, 7.689495703079907 45.0548284796402, 7.683133725919914 45.0548284796402, 7.683133725919914 45.06119045680019))",356,1094.0,1097.0
300,"POLYGON ((7.670409771599928 45.06119045680019, 7.676771748759921 45.06119045680019, 7.676771748759921 45.0548284796402, 7.670409771599928 45.0548284796402, 7.670409771599928 45.06119045680019))",300,1121.0,1121.0
216,"POLYGON ((7.651323840119949 45.06119045680019, 7.657685817279942 45.06119045680019, 7.657685817279942 45.0548284796402, 7.651323840119949 45.0548284796402, 7.651323840119949 45.06119045680019))",216,1171.0,1163.0
410,"POLYGON ((7.6958576802399 45.07391441112017, 7.702219657399893 45.07391441112017, 7.702219657399893 45.06755243396018, 7.6958576802399 45.06755243396018, 7.6958576802399 45.07391441112017))",410,1084.0,1087.0
187,"POLYGON ((7.644961862959956 45.06755243396018, 7.651323840119949 45.06755243396018, 7.651323840119949 45.06119045680019, 7.644961862959956 45.06119045680019, 7.644961862959956 45.06755243396018))",187,1120.0,1121.0
302,"POLYGON ((7.670409771599928 45.04846650248021, 7.676771748759921 45.04846650248021, 7.676771748759921 45.04210452532022, 7.670409771599928 45.04210452532022, 7.670409771599928 45.04846650248021))",302,1052.0,1055.0
214,"POLYGON ((7.651323840119949 45.07391441112017, 7.657685817279942 45.07391441112017, 7.657685817279942 45.06755243396018, 7.651323840119949 45.06755243396018, 7.651323840119949 45.07391441112017))",214,1013.0,1011.0
411,"POLYGON ((7.6958576802399 45.06755243396018, 7.702219657399893 45.06755243396018, 7.702219657399893 45.06119045680019, 7.6958576802399 45.06119045680019, 7.6958576802399 45.06755243396018))",411,1028.0,1022.0
273,"POLYGON ((7.664047794439935 45.0548284796402, 7.670409771599928 45.0548284796402, 7.670409771599928 45.04846650248021, 7.664047794439935 45.04846650248021, 7.664047794439935 45.0548284796402))",273,1040.0,1047.0
140,"POLYGON ((7.638599885799963 45.18843, 7.644961862959956 45.18843, 7.644961862959956 45.18206802284001, 7.638599885799963 45.18206802284001, 7.638599885799963 45.18843))",140,1127.0,1140.0
271,"POLYGON ((7.664047794439935 45.06755243396018, 7.670409771599928 45.06755243396018, 7.670409771599928 45.06119045680019, 7.664047794439935 45.06119045680019, 7.664047794439935 45.06755243396018))",271,933.0,931.0
188,"POLYGON ((7.644961862959956 45.06119045680019, 7.651323840119949 45.06119045680019, 7.651323840119949 45.0548284796402, 7.644961862959956 45.0548284796402, 7.644961862959956 45.06119045680019))",188,914.0,901.0
160,"POLYGON ((7.638599885799963 45.06119045680019, 7.644961862959956 45.06119045680019, 7.644961862959956 45.0548284796402, 7.638599885799963 45.0548284796402, 7.638599885799963 45.06119045680019))",160,919.0,906.0
186,"POLYGON ((7.644961862959956 45.07391441112017, 7.651323840119949 45.07391441112017, 7.651323840119949 45.06755243396018, 7.644961862959956 45.06755243396018, 7.644961862959956 45.07391441112017))",186,803.0,800.0
301,"POLYGON ((7.670409771599928 45.0548284796402, 7.676771748759921 45.0548284796402, 7.676771748759921 45.04846650248021, 7.670409771599928 45.04846650248021, 7.670409771599928 45.0548284796402))",301,807.0,815.0
354,"POLYGON ((7.683133725919914 45.07391441112017, 7.689495703079907 45.07391441112017, 7.689495703079907 45.06755243396018, 7.683133725919914 45.06755243396018, 7.683133725919914 45.07391441112017))",354,768.0,771.0
276,"POLYGON ((7.664047794439935 45.03574254816023, 7.670409771599928 45.03574254816023, 7.670409771599928 45.02938057100024, 7.664047794439935 45.02938057100024, 7.664047794439935 45.03574254816023))",276,757.0,758.0
217,"POLYGON ((7.651323840119949 45.0548284796402, 7.657685817279942 45.0548284796402, 7.657685817279942 45.04846650248021, 7.651323840119949 45.04846650248021, 7.651323840119949 45.0548284796402))",217,809.0,807.0
330,"POLYGON ((7.676771748759921 45.04846650248021, 7.683133725919914 45.04846650248021, 7.683133725919914 45.04210452532022, 7.676771748759921 45.04210452532022, 7.676771748759921 45.04846650248021))",330,762.0,759.0
384,"POLYGON ((7.689495703079907 45.06119045680019, 7.6958576802399 45.06119045680019, 7.6958576802399 45.0548284796402, 7.689495703079907 45.0548284796402, 7.689495703079907 45.06119045680019))",384,750.0,751.0
213,"POLYGON ((7.651323840119949 45.08027638828016, 7.657685817279942 45.08027638828016, 7.657685817279942 45.07391441112017, 7.651323840119949 45.07391441112017, 7.651323840119949 45.08027638828016))",213,670.0,669.0
219,"POLYGON ((7.651323840119949 45.04210452532022, 7.657685817279942 45.04210452532022, 7.657685817279942 45.03574254816023, 7.651323840119949 45.03574254816023, 7.651323840119949 45.04210452532022))",219,721.0,723.0
381,"POLYGON ((7.689495703079907 45.08027638828016, 7.6958576802399 45.08027638828016, 7.6958576802399 45.07391441112017, 7.689495703079907 45.07391441112017, 7.689495703079907 45.08027638828016))",381,710.0,711.0
409,"POLYGON ((7.6958576802399 45.08027638828016, 7.702219657399893 45.08027638828016, 7.702219657399893 45.07391441112017, 7.6958576802399 45.07391441112017, 7.6958576802399 45.08027638828016))",409,680.0,683.0
158,"POLYGON ((7.638599885799963 45.07391441112017, 7.644961862959956 45.07391441112017, 7.644961862959956 45.06755243396018, 7.638599885799963 45.06755243396018, 7.638599885799963 45.07391441112017))",158,666.0,675.0
268,"POLYGON ((7.664047794439935 45.08663836544015, 7.670409771599928 45.08663836544015, 7.670409771599928 45.08027638828016, 7.664047794439935 45.08027638828016, 7.664047794439935 45.08663836544015))",268,663.0,664.0
240,"POLYGON ((7.657685817279942 45.08663836544015, 7.664047794439935 45.08663836544015, 7.664047794439935 45.08027638828016, 7.657685817279942 45.08027638828016, 7.657685817279942 45.08663836544015))",240,686.0,685.0
353,"POLYGON ((7.683133725919914 45.08027638828016, 7.689495703079907 45.08027638828016, 7.689495703079907 45.07391441112017, 7.683133725919914 45.07391441112017, 7.683133725919914 45.08027638828016))",353,630.0,633.0
185,"POLYGON ((7.644961862959956 45.08027638828016, 7.651323840119949 45.08027638828016, 7.651323840119949 45.07391441112017, 7.644961862959956 45.07391441112017, 7.644961862959956 45.08027638828016))",185,634.0,632.0
157,"POLYGON ((7.638599885799963 45.08027638828016, 7.644961862959956 45.08027638828016, 7.644961862959956 45.07391441112017, 7.638599885799963 45.07391441112017, 7.638599885799963 45.08027638828016))",157,646.0,648.0
438,"POLYGON ((7.702219657399893 45.07391441112017, 7.708581634559886 45.07391441112017, 7.708581634559886 45.06755243396018, 7.702219657399893 45.06755243396018, 7.702219657399893 45.07391441112017))",438,572.0,576.0
130,"POLYGON ((7.63223790863997 45.07391441112017, 7.638599885799963 45.07391441112017, 7.638599885799963 45.06755243396018, 7.63223790863997 45.06755243396018, 7.63223790863997 45.07391441112017))",130,649.0,657.0
439,"POLYGON ((7.702219657399893 45.06755243396018, 7.708581634559886 45.06755243396018, 7.708581634559886 45.06119045680019, 7.702219657399893 45.06119045680019, 7.702219657399893 45.06755243396018))",439,654.0,652.0
159,"POLYGON ((7.638599885799963 45.06755243396018, 7.644961862959956 45.06755243396018, 7.644961862959956 45.06119045680019, 7.638599885799963 45.06119045680019, 7.638599885799963 45.06755243396018))",159,610.0,607.0
296,"POLYGON ((7.670409771599928 45.08663836544015, 7.676771748759921 45.08663836544015, 7.676771748759921 45.08027638828016, 7.670409771599928 45.08027638828016, 7.670409771599928 45.08663836544015))",296,585.0,583.0
189,"POLYGON ((7.644961862959956 45.0548284796402, 7.651323840119949 45.0548284796402, 7.651323840119949 45.04846650248021, 7.644961862959956 45.04846650248021, 7.644961862959956 45.0548284796402))",189,575.0,571.0
162,"POLYGON ((7.638599885799963 45.04846650248021, 7.644961862959956 45.04846650248021, 7.644961862959956 45.04210452532022, 7.638599885799963 45.04210452532022, 7.638599885799963 45.04846650248021))",162,544.0,544.0
246,"POLYGON ((7.657685817279942 45.04846650248021, 7.664047794439935 45.04846650248021, 7.664047794439935 45.04210452532022, 7.657685817279942 45.04210452532022, 7.657685817279942 45.04846650248021))",246,582.0,581.0
212,"POLYGON ((7.651323840119949 45.08663836544015, 7.657685817279942 45.08663836544015, 7.657685817279942 45.08027638828016, 7.651323840119949 45.08027638828016, 7.651323840119949 45.08663836544015))",212,568.0,574.0
103,"POLYGON ((7.625875931479977 45.06755243396018, 7.63223790863997 45.06755243396018, 7.63223790863997 45.06119045680019, 7.625875931479977 45.06119045680019, 7.625875931479977 45.06755243396018))",103,559.0,558.0
131,"POLYGON ((7.63223790863997 45.06755243396018, 7.638599885799963 45.06755243396018, 7.638599885799963 45.06119045680019, 7.63223790863997 45.06119045680019, 7.63223790863997 45.06755243396018))",131,538.0,539.0
466,"POLYGON ((7.708581634559886 45.07391441112017, 7.714943611719879 45.07391441112017, 7.714943611719879 45.06755243396018, 7.708581634559886 45.06755243396018, 7.708581634559886 45.07391441112017))",466,502.0,504.0
73,"POLYGON ((7.619513954319984 45.08027638828016, 7.625875931479977 45.08027638828016, 7.625875931479977 45.07391441112017, 7.619513954319984 45.07391441112017, 7.619513954319984 45.08027638828016))",73,527.0,529.0
265,"POLYGON ((7.664047794439935 45.10572429692012, 7.670409771599928 45.10572429692012, 7.670409771599928 45.09936231976013, 7.664047794439935 45.09936231976013, 7.664047794439935 45.10572429692012))",265,544.0,545.0
467,"POLYGON ((7.708581634559886 45.06755243396018, 7.714943611719879 45.06755243396018, 7.714943611719879 45.06119045680019, 7.708581634559886 45.06119045680019, 7.708581634559886 45.06755243396018))",467,561.0,555.0
190,"POLYGON ((7.644961862959956 45.04846650248021, 7.651323840119949 45.04846650248021, 7.651323840119949 45.04210452532022, 7.644961862959956 45.04210452532022, 7.644961862959956 45.04846650248021))",190,533.0,537.0
163,"POLYGON ((7.638599885799963 45.04210452532022, 7.644961862959956 45.04210452532022, 7.644961862959956 45.03574254816023, 7.638599885799963 45.03574254816023, 7.638599885799963 45.04210452532022))",163,505.0,504.0
380,"POLYGON ((7.689495703079907 45.08663836544015, 7.6958576802399 45.08663836544015, 7.6958576802399 45.08027638828016, 7.689495703079907 45.08027638828016, 7.689495703079907 45.08663836544015))",380,506.0,506.0
351,"POLYGON ((7.683133725919914 45.09300034260014, 7.689495703079907 45.09300034260014, 7.689495703079907 45.08663836544015, 7.683133725919914 45.08663836544015, 7.683133725919914 45.09300034260014))",351,540.0,534.0
191,"POLYGON ((7.644961862959956 45.04210452532022, 7.651323840119949 45.04210452532022, 7.651323840119949 45.03574254816023, 7.644961862959956 45.03574254816023, 7.644961862959956 45.04210452532022))",191,514.0,514.0
21,"POLYGON ((7.606789999999998 45.0548284796402, 7.613151977159991 45.0548284796402, 7.613151977159991 45.04846650248021, 7.606789999999998 45.04846650248021, 7.606789999999998 45.0548284796402))",21,452.0,449.0
324,"POLYGON ((7.676771748759921 45.08663836544015, 7.683133725919914 45.08663836544015, 7.683133725919914 45.08027638828016, 7.676771748759921 45.08027638828016, 7.676771748759921 45.08663836544015))",324,468.0,463.0
220,"POLYGON ((7.651323840119949 45.03574254816023, 7.657685817279942 45.03574254816023, 7.657685817279942 45.02938057100024, 7.651323840119949 45.02938057100024, 7.651323840119949 45.03574254816023))",220,476.0,478.0
133,"POLYGON ((7.63223790863997 45.0548284796402, 7.638599885799963 45.0548284796402, 7.638599885799963 45.04846650248021, 7.63223790863997 45.04846650248021, 7.63223790863997 45.0548284796402))",133,474.0,471.0
323,"POLYGON ((7.676771748759921 45.09300034260014, 7.683133725919914 45.09300034260014, 7.683133725919914 45.08663836544015, 7.676771748759921 45.08663836544015, 7.676771748759921 45.09300034260014))",323,443.0,441.0
165,"POLYGON ((7.638599885799963 45.02938057100024, 7.644961862959956 45.02938057100024, 7.644961862959956 45.02301859384025, 7.638599885799963 45.02301859384025, 7.638599885799963 45.02938057100024))",165,424.0,423.0
352,"POLYGON ((7.683133725919914 45.08663836544015, 7.689495703079907 45.08663836544015, 7.689495703079907 45.08027638828016, 7.683133725919914 45.08027638828016, 7.683133725919914 45.08663836544015))",352,446.0,444.0
293,"POLYGON ((7.670409771599928 45.10572429692012, 7.676771748759921 45.10572429692012, 7.676771748759921 45.09936231976013, 7.670409771599928 45.09936231976013, 7.670409771599928 45.10572429692012))",293,512.0,513.0
405,"POLYGON ((7.6958576802399 45.10572429692012, 7.702219657399893 45.10572429692012, 7.702219657399893 45.09936231976013, 7.6958576802399 45.09936231976013, 7.6958576802399 45.10572429692012))",405,525.0,527.0
221,"POLYGON ((7.651323840119949 45.02938057100024, 7.657685817279942 45.02938057100024, 7.657685817279942 45.02301859384025, 7.651323840119949 45.02301859384025, 7.651323840119949 45.02938057100024))",221,433.0,437.0
211,"POLYGON ((7.651323840119949 45.09300034260014, 7.657685817279942 45.09300034260014, 7.657685817279942 45.08663836544015, 7.651323840119949 45.08663836544015, 7.651323840119949 45.09300034260014))",211,450.0,450.0
46,"POLYGON ((7.613151977159991 45.07391441112017, 7.619513954319984 45.07391441112017, 7.619513954319984 45.06755243396018, 7.613151977159991 45.06755243396018, 7.613151977159991 45.07391441112017))",46,498.0,500.0
101,"POLYGON ((7.625875931479977 45.08027638828016, 7.63223790863997 45.08027638828016, 7.63223790863997 45.07391441112017, 7.625875931479977 45.07391441112017, 7.625875931479977 45.08027638828016))",101,404.0,403.0
522,"POLYGON ((7.721305588879872 45.07391441112017, 7.727667566039865 45.07391441112017, 7.727667566039865 45.06755243396018, 7.721305588879872 45.06755243396018, 7.721305588879872 45.07391441112017))",522,486.0,488.0
102,"POLYGON ((7.625875931479977 45.07391441112017, 7.63223790863997 45.07391441112017, 7.63223790863997 45.06755243396018, 7.625875931479977 45.06755243396018, 7.625875931479977 45.07391441112017))",102,422.0,421.0
106,"POLYGON ((7.625875931479977 45.04846650248021, 7.63223790863997 45.04846650248021, 7.63223790863997 45.04210452532022, 7.625875931479977 45.04210452532022, 7.625875931479977 45.04846650248021))",106,458.0,459.0
494,"POLYGON ((7.714943611719879 45.07391441112017, 7.721305588879872 45.07391441112017, 7.721305588879872 45.06755243396018, 7.714943611719879 45.06755243396018, 7.714943611719879 45.07391441112017))",494,448.0,446.0
180,"POLYGON ((7.644961862959956 45.11208627408011, 7.651323840119949 45.11208627408011, 7.651323840119949 45.10572429692012, 7.644961862959956 45.10572429692012, 7.644961862959956 45.11208627408011))",180,655.0,651.0
18,"POLYGON ((7.606789999999998 45.07391441112017, 7.613151977159991 45.07391441112017, 7.613151977159991 45.06755243396018, 7.606789999999998 45.06755243396018, 7.606789999999998 45.07391441112017))",18,438.0,431.0
135,"POLYGON ((7.63223790863997 45.04210452532022, 7.638599885799963 45.04210452532022, 7.638599885799963 45.03574254816023, 7.63223790863997 45.03574254816023, 7.63223790863997 45.04210452532022))",135,418.0,415.0
129,"POLYGON ((7.63223790863997 45.08027638828016, 7.638599885799963 45.08027638828016, 7.638599885799963 45.07391441112017, 7.63223790863997 45.07391441112017, 7.63223790863997 45.08027638828016))",129,368.0,367.0
521,"POLYGON ((7.721305588879872 45.08027638828016, 7.727667566039865 45.08027638828016, 7.727667566039865 45.07391441112017, 7.721305588879872 45.07391441112017, 7.721305588879872 45.08027638828016))",521,476.0,473.0
322,"POLYGON ((7.676771748759921 45.09936231976013, 7.683133725919914 45.09936231976013, 7.683133725919914 45.09300034260014, 7.676771748759921 45.09300034260014, 7.676771748759921 45.09936231976013))",322,396.0,394.0
278,"POLYGON ((7.664047794439935 45.02301859384025, 7.670409771599928 45.02301859384025, 7.670409771599928 45.01665661668026, 7.664047794439935 45.01665661668026, 7.664047794439935 45.02301859384025))",278,386.0,381.0
161,"POLYGON ((7.638599885799963 45.0548284796402, 7.644961862959956 45.0548284796402, 7.644961862959956 45.04846650248021, 7.638599885799963 45.04846650248021, 7.638599885799963 45.0548284796402))",161,360.0,353.0
295,"POLYGON ((7.670409771599928 45.09300034260014, 7.676771748759921 45.09300034260014, 7.676771748759921 45.08663836544015, 7.670409771599928 45.08663836544015, 7.670409771599928 45.09300034260014))",295,397.0,398.0
331,"POLYGON ((7.676771748759921 45.04210452532022, 7.683133725919914 45.04210452532022, 7.683133725919914 45.03574254816023, 7.676771748759921 45.03574254816023, 7.676771748759921 45.04210452532022))",331,389.0,388.0
192,"POLYGON ((7.644961862959956 45.03574254816023, 7.651323840119949 45.03574254816023, 7.651323840119949 45.02938057100024, 7.644961862959956 45.02938057100024, 7.644961862959956 45.03574254816023))",192,352.0,355.0
134,"POLYGON ((7.63223790863997 45.04846650248021, 7.638599885799963 45.04846650248021, 7.638599885799963 45.04210452532022, 7.63223790863997 45.04210452532022, 7.63223790863997 45.04846650248021))",134,387.0,388.0
